Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 UE3),2017-Oct-25 16:30Ê±Ê< 00:01,4.66 | 0.01197,4.64 | 0.01192,15.11,15.10,25.5,21 m -   47 m
(2017 UG6),2017-Oct-25 16:41Ê±Ê< 00:01,13.91 | 0.03574,13.85 | 0.03560,6.89,6.88,25.3,23 m -   52 m
(2017 UG3),2017-Oct-25 20:39Ê±Ê< 00:01,12.32 | 0.03164,12.22 | 0.03139,5.34,5.32,27.2,9.7 m -   22 m
(2017 TL4),2017-Oct-25 20:47Ê±Ê< 00:01,14.61 | 0.03753,14.56 | 0.03741,11.39,11.39,24.4,35 m -   78 m
(2017 UJ5),2017-Oct-26 02:51Ê±Ê< 00:01,18.66 | 0.04794,18.61 | 0.04781,6.24,6.24,24.7,31 m -   68 m
(2017 UW7),2017-Oct-26 05:54Ê±Ê< 00:01,4.95 | 0.01272,4.94 | 0.01269,12.03,12.01,27.6,8.0 m -   18 m
(2017 UP43),2017-Oct-27 01:57Ê±Ê< 00:01,1.17 | 0.00301,1.17 | 0.00300,7.96,7.85,26.4,14 m -   31 m
(2017 UN43),2017-Oct-27 12:09Ê±Ê< 00:01,4.89 | 0.01257,4.86 | 0.01248,16.42,16.40,26,17 m -   38 m
(2017 UM5),2017-Oct-27 15:57Ê±Ê< 00:01,5.96 | 0.01532,5.95 | 0.01528,17.05,17.04,25.6,20 m -   45 m
(2017 UK44),2017-Oct-27 21:16Ê±Ê< 00:01,13.01 | 0.03343,12.97 | 0.03332,10.16,10.15,25.1,25 m -   57 m
(2017 UB6),2017-Oct-28 02:19Ê±Ê< 00:01,12.32 | 0.03167,12.25 | 0.03148,7.53,7.52,27.2,9.7 m -   22 m
(2017 UK6),2017-Oct-28 08:14Ê±Ê< 00:01,11.78 | 0.03027,11.78 | 0.03027,14.71,14.71,24,42 m -   94 m
(2017 UP7),2017-Oct-28 08:57Ê±Ê< 00:01,12.73 | 0.03271,12.64 | 0.03249,12.83,12.83,25.9,18 m -   39 m
(2017 UL6),2017-Oct-28 11:24Ê±Ê< 00:01,0.16 | 0.00040,0.15 | 0.00040,8.03,7.14,32,1.1 m -  2.4 m
(2017 VA),2017-Oct-28 19:37Ê±Ê< 00:01,2.90 | 0.00746,2.89 | 0.00744,12.43,12.40,24.2,38 m -   86 m
(2017 UV7),2017-Oct-29 03:56Ê±Ê< 00:01,6.11 | 0.01569,6.10 | 0.01567,12.49,12.48,26.5,13 m -   30 m
